INPUT;FOUND_BY;DTXSID;PREFERRED_NAME;VERIFICACION ;SMILES;MOLECULAR_FORMULA;AVERAGE_MASS;iupac_name;iupac_name_SMILES;Validacion IUPAC;verificacion manual;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL
((Perfluorooctyl)ethyl)phosphonic acid;Approved Name;DTXSID30627108;((Perfluorooctyl)ethyl)phosphonic acid;0.0;OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C10H6F17O3P;528.102;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;0;NO;((Perfluorooctyl)ethyl)phosphonic acid;80220-63-9;C10H6F17O3P;527.97831;63.0;512.0;12.0;Active
((Perfluorooctyl)ethyl)phosphonic acid;Approved Name;DTXSID30627108;((Perfluorooctyl)ethyl)phosphonic acid;0.0;OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C10H6F17O3P;528.102;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;0;NO;((Perfluorooctyl)ethyl)phosphonic acid;80220-63-9;C10H6F17O3P;527.97831;63.0;512.0;12.0;Active
((Perfluorooctyl)ethyl)phosphonic acid;Approved Name;DTXSID30627108;((Perfluorooctyl)ethyl)phosphonic acid;0.0;OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C10H6F17O3P;528.102;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;0;NO;((Perfluorooctyl)ethyl)phosphonic acid;80220-63-9;C10H6F17O3P;527.97831;63.0;512.0;12.0;Active
((Perfluorooctyl)ethyl)phosphonic acid;Approved Name;DTXSID30627108;((Perfluorooctyl)ethyl)phosphonic acid;0.0;OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C10H6F17O3P;528.102;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;0;NO;((Perfluorooctyl)ethyl)phosphonic acid;80220-63-9;C10H6F17O3P;527.97831;63.0;512.0;12.0;Active
((Perfluorooctyl)ethyl)phosphonic acid;Approved Name;DTXSID30627108;((Perfluorooctyl)ethyl)phosphonic acid;0.0;OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C10H6F17O3P;528.102;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;0;NO;((Perfluorooctyl)ethyl)phosphonic acid;80220-63-9;C10H6F17O3P;527.97831;63.0;512.0;12.0;Active
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0.0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO;(-)-Ambroxide;6790-58-5;C16H28O;236.214016;97.0;634.0;15.0;Active
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0.0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO;(-)-Ambroxide;6790-58-5;C16H28O;236.214016;97.0;634.0;15.0;Active
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0.0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO;(-)-Ambroxide;6790-58-5;C16H28O;236.214016;97.0;634.0;15.0;Active
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0.0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO;(-)-Ambroxide;6790-58-5;C16H28O;236.214016;97.0;634.0;15.0;Active
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0.0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO;(-)-Ambroxide;6790-58-5;C16H28O;236.214016;97.0;634.0;15.0;Active
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0.0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO;(-)-Ambroxide;6790-58-5;C16H28O;236.214016;97.0;634.0;15.0;Active
